PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,Id,SalePrice
88055.4306648551,-31300.22091233398,3454.2290854706807,9126.56063524893,6797.3003323507955,16901.525491846267,2651.200158959884,-10122.247248840482,520.9861830280339,-21098.418537580343,6589.802848733566,-12390.954522761962,-11926.719510354254,7445.4839616385425,-24696.30177268619,1,208500
76642.58281724068,-27293.396780952833,2985.442694774803,8167.173062981405,5903.5824432849395,14806.532365425537,2339.2378535029197,-8635.524239485647,350.73372189714917,-18325.651585505657,5756.058589730404,-10825.522202733831,-10178.737887677808,6332.561489628541,-21491.807577564497,2,181500
94376.07615709405,-33539.74210716871,3713.9204096309645,9700.610671489869,7354.133876417748,18109.964458273993,2836.70795012847,-10841.613630984506,585.5514577900199,-22606.176706451704,7019.739473291824,-13279.367951459848,-12853.449463533538,7931.141399360537,-26509.010368758507,3,223500
59051.4156132929,-20990.564878687223,2341.0648559991578,6535.915068111174,4411.060605150744,11465.01040135028,1735.4287108694753,-6895.58267606699,179.3142554344657,-14322.792874229897,4683.684588270142,-8287.080688447044,-7591.830992486929,4993.2227920473015,-16611.87162285408,4,140000
105659.31508984558,-37555.99640077005,4145.780901525654,10763.542243666609,8350.751015414678,20257.415685598393,3154.7214732240636,-12033.651843164638,715.0979370097544,-25258.670634103826,7716.95121135686,-14834.707234518564,-14518.870174471973,8904.690346488127,-29486.59834185124,5,250000
60339.89135654571,-21448.48616522768,2469.0344163807827,6678.765543172764,4391.341491573666,11956.625529419849,2335.8628319346067,-7019.803355501,648.5820294024326,-14457.070988528076,4734.712430938996,-8384.165613432036,-7757.760472373944,5024.868676980855,-16944.799654156835,6,143000
129687.79011965323,-46074.26717468204,5137.847958107067,12965.36444114982,10478.195180493285,24853.98856064618,3850.8003299913044,-14734.970162010306,962.2320715449171,-30956.160374777344,9381.881504403536,-18217.390046556084,-18051.009032346825,10705.301376823658,-36347.66970052624,7,307000
84523.52853740094,-30012.290028874777,3429.921467773591,8908.496906937715,6629.912519946491,16332.234807735806,2668.1337043517997,-9638.99470171962,718.1584900752963,-20338.7672028656,6444.528639745032,-11775.58602567448,-11339.464612181906,7109.702807091926,-23485.294592142676,8,200000
54801.879339332525,-19505.425177615267,2144.36232138682,6168.606498540847,4036.9860008871706,10662.984559638433,1640.0142157717291,-6334.804513397464,124.22396413955038,-13271.30735584442,4336.565587319995,-7714.696069263262,-6952.867323381583,4632.516489861628,-15396.810641334227,9,129900
49777.361346528356,-17746.083337320048,1907.8164232763556,5658.912661525526,3499.7460479801834,9654.673528569794,1564.3740981684223,-5735.096904644593,74.86740047237974,-11990.03370813655,3988.9285950024732,-7064.001099147239,-6242.141858349164,4258.383427843552,-14030.929695329805,10,118000
